AFGANISTÁN,Afghani,AFN
SUECIA,Corona sueca,SEK
SUIZA,Euro WIR,CHE
SUIZA,Franco suizo,CHF
SUIZA,Franco WIR,CHW
SURINAME,Dólar surinamés,SRD
SVALBARD AND JAN MAYEN,Corona noruega,NOK
SWAZILANDIA,Lilangeni,SZL
TAILANDIA,Baht,THB
TAIWÁN (PROVINCIA DE CHINA),Nuevo dólar taiwanés,TWD
"TANZANIA, ",Chelín tanzano,TZS
REPÚBLICA UNIDA DE,,
TAYIKISTÁN,Somoni,TJS
TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO,Dólar Americano,USD
TERRITORIOS AUSTRALES FRANCESES,Euro,EUR
TIMOR ORIENTAL,Dólar Americano,USD
TOGO,Franco CFA BCEAO,XOF
TOKELAU,Dólar neozelandés,NZD
TONGA,Pa’anga,TOP
TRINIDAD Y TOBAGO,Dólar trinitense,TTD
TURCOS Y CAICOS,Dólar Americano,USD
TURKMENISTÁN,Manat turcomano,TMT
TURQUÍA,Lira turca,TRY
TUVALU,Dólar australiano,AUD
TÚNEZ,Dinar tunecino,TND
UCRANIA,Hryvnia,UAH
UGANDA,Chelín ugandés,UGX
UNIÓN EUROPEA,Euro,EUR
URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI
URUGUAY,Peso Uruguayo,UYU
UZBEKISTÁN,Som uzbeko,UZS
VANUATU,Vatu,VUV
VENEZUELA (REPÚBLICA BOLIVARIANA DE),Bolívar,VEF
VIETNAM,Dong,VND
WALLIS Y FUTUNA,Franco CFP,XPF
YEMEN,Rial yemení,YER
ZAMBIA,Kwacha zambiano,ZMW
ZIMBABWE,Dólar zimbabuense,ZWL
